Meal/Ingredient,Quantity,Measure,Net weight (g/ml),Calories (Kcal),Protein (g),Fats (g),Carbs (g),Fiber (g)
Wholewheat Sourdough Bread,1,Slice,33,103,4.1,0.1,21.6,12.4
Omelette,2,Eggs,112,254,13.3,22.3,2.1,0.1
White rice,1,Bowl,289,281,6.1,0.8,62.2,1
White rice,1,Cup,206,200,4.3,0.6,44.4,0.7
Rasam,1,Katori,150,36,1.5,0.8,5.8,1
Ghee podi Masala Dosa,1,Large,220,403,8.5,19.1,49.4,4.9
Idli,1,Regular,50,73,2.2,0.3,15.2,1.3
Sambar,1,Bowl,350,265,12.8,7,37.8,8.5
Filter coffee,1,Teacup,180,127,4.7,5.4,15.3,0
Pav,1,Piece,40,109,3,0.2,24,0
Bhaji,1,Bowl,350,319,5.3,16.2,39.2,5
Vada Pav,1,Vada Pav,136,310,5.3,12.2,45.2,2.2
Dairy Milk Brownie Chocolate,1,Bar,70,390,5.7,25.4,35.6,0
Cooked Kali Dal ,1,Small Bowl,150,126,7.7,2,19.3,3.9
Tandoori Roti,1,Piece,50,150,4.1,3.9,24.8,2.9
Cooked yellow dal,1,Cup,250,192,11.3,3.2,29.5,4.7
Aloo Gobi,1,Katori,100,95,1.7,3.4,14.5,2.2
Veg Jalfrezi,1,Katori,100,82,1.8,5.6,6.7,2.4
Veg Jalfrezi,1,Serve,350,785,16,38.5,93,7.5
Agli o olio,1,Bowl,233,521,16.5,27,54,3.6
Pink sauce pasta,1,Serve,450,720,21.5,28.5,95,10.5
McSpicy Veg Premium Burger,1,Burger,213,635,22.4,39.2,46,4
Corn & Cheese Burger,1,Burger,175,435,13.5,19.5,51,4.5
Large Fries,1,Serve,191,598,7.1,29,80.7,7.1
Medium Fries ,1,Serve,112,352,4.2,18.1,43.1,3.9
Veg Boss burrito,1,Serve,441,858,27.8,30.9,115.1,10.1
Chicken nugget,1,Nugget,35,122,4.9,8.9,3.5,0.2
Amul butter unsalted,1,Tablespoon,15.6,105,0.1,11.6,0,0
Amul garlic & herbs butter,1,Tablespoon,14,98,0.1,10.8,0,0
Buttermilk,1,Glass,250,47,3.3,0.8,5,0
"Gourmet cheddar cheese, D'lecta",1,slice,20,77,4.7,5.9,1.4,0
"Shredded mozarella, D'lecta",0.25,Cup,28.2,80,6.9,5.8,0.1,0
Ghee,1,Teaspoon,3.4,28,0,3.1,0,0
Ghee,1,Tablespoon,10.2,85,0,9.4,0,0
Chilli Garlic Noodles,1,Bowl,233,328,9.3,8.9,53.1,1.7
Roti,1,Piece,35,85,3,0.4,17.3,2.7
Chapati,1,Piece,35,85,3,0.4,17.3,2.7
Curd rice,1,Katori,130,127,3.5,5.5.,15.8,0.4
Dal Makhani,1,Bowl,350,384,14.2,19.4,38.4,13.7
Aloo Paratha,1,Piece,100,203,4.7,6.7,31.2,4.4
Onion Paratha,1,Piece,80,153,3.2,7.5,18.6,3.3
Paneer Paratha,1,Piece,80,226,10.1,13.6,15.9,2.4
Extra Virgin Olive Oil,1,Tablespoon,13.5,122,0,13.5,0,0
Olive Oil,1,Teaspoon,4.5,30,0,4.5,0,0
Mustard Oil,1,Tablespoon,14,124,0,14,0,0
Rice Bran Oil,1,Tablespoon,13.5,122,0,13.5,0,0
Set Curd,1,Tablespoon,15,9,0.5,0.5,0.8,0
Set Curd,1,Cup,245,152,8.1,7.8,12.3,0
Munch Max,1,Piece,42,187,2.6,9.5,22.7,0
Dal Tadka,1,Katori,150,128,6.1,4.1,16.6,2.9
Dal Tadka,1,Bowl,350,298,14.2,9.6,38.8,6.8
Penne Arrabiata Veg,1,Serve,750,926,35.7,21,163.9,33.6
Penne Alfredo Veg,1,Serve,500,900,27.5,36,115,7.5
Garlic Naan,1,Piece,100,246,4.7,11.3,31.2,1.4
Regular Naan,1,Piece,100,246,4.7,11.3,31.2,1.4
Butter Garlic Naan,1,Piece,93,269,5.6,12.1,33.9,1.4
Butter Naan,1,Piece,92,268,5.5,12.1,33.6,1.4
Butter tandoori roti,1,Piece,50,180,3.5,8.9,21.4,2.5
Kulcha,1,Piece,70,168,3.7,6,24.3,1.1
Masala Kulcha,1,Piece,100,207,6.5,5.2,33.2,1.5
Paneer Dabeli,1,Piece,75,183.4,6.5,7.5,22.4,1
Truffles Classic Veg Lasagna,1,Serve,400,792,40,30.4,88.8,8
"Matar Panner Kali Dal Roti Thali, ITC ",1,Serve,450,595.4,17.2,23,81.9,16
"Aloo Gobi Mini Veg Thali , ITC",1,Serve,450,560,14.5,16,89,11.5
"Veg Danmein Noodles, Beijing Bites",1,Serve,350,550,14.5,22,73.5,8.5
